institution,location,country,website,status
Abia State University,Abia State,Nigeria,http://absu.edu.ng/,Full Member
Abm University College,Gaborone,Botswana,https://abm.ac.bw,Associate Member
Abrar University,Mogadishu,Somalia,https://abrar.edu.so,Associate Member
Abubakar Tafawa Balewa University,Bauchi,Nigeria,http://www.atbu.edu.ng/,Full Member
Accra Institute Of Technology,Accra,Ghana,http://ait-edu.us/,Full Member
Accra Technical University,Accra,Ghana,https://atu.edu.gh,Full Member
"Adamawa State University,",Mudi,Nigeria,http://www.adamawastateuni.com/,Full Member
Addis Ababa Science And Technology University,Addis Ababa,Ethiopia,http://www.aastu.edu.et,Full Member
Addis Ababa University,Addis Ababa,Ethiopia,http://www.aau.edu.et,Full Member
Adekunle Ajasin University,Akungba-akoko,Nigeria,http://www.adekunleajasinuniversity.edu.ng/,Full Member
Admiralty University Of Nigeria,Delta State,Nigeria,https://adun.edu.ng/,Associate Member
"Afe Babalola University, Ado Ekiti (abuad)",Ado Ekiti,Nigeria,http://www.abuad.edu.ng,Full Member
Afi/l’université De L’entreprise En Abrégé (afi/l’ue),Zone B Dakar,Sénégal,https://www.afi-ue.sn/,Full Member
Africa International University,Khartoum,Sudan,https://www.iua.edu.sd/,Full Member
Africa University,Mutare,Zimbabwe,http://www.africau.edu/,Full Member
African University College Of Communication,Accra,Ghana,http://www.aucc.edu.gh,Full Member
"African University Of Science And Technology, Abuja",Abuja,Nigeria,https://aust.edu.ng,Associate Member
African Virtual University,Nairobi,Kenya,http://www.avu.org,Associate Member
Agitel - Formation,Abidjan 03,CÔte D'ivoire,http://www.agitel.ci,Full Member
Ahfad University For Women,Omdurman,Sudan,http://www.ahfad.net/,Full Member
Ahmadu Bello University,Zaria,Nigeria,http://abu.edu.ng/,Full Member
Ain Shams University,Cairo,Egypt,http://www.asu.edu.eg/,Full Member
Ajayi Crowther University,Oyo Town,Nigeria,https://acu.edu.ng,Full Member
Al Asmariya Univ. Of Islamic Sciences,Zliten,Libya,http://asmarya.edu.ly,Full Member
Al Fashir University,Durfur,Sudan,http://fashir.edu.sd/,Full Member
Al Neelain University,Khartoum 12702,Sudan,http://www.neelain.edu.sd/,Full Member
Al-azhar University,Cairo,Egypt,http://www.azhar.edu.eg/en/,Full Member
Al-fateh University,Tripoli,Libya,https://uot.edu.ly/,Full Member
Al-hikmah University,Ilorin,Nigeria,https://alhikmahuniversity.edu.ng,Full Member
Alexandria Higher Institute Of Engineering & Technology (aiet),Alexandria,Egypt,http://www.aiet.edu.eg/,Full Member
Alexandria University,Alexandria,Egypt,https://alexu.edu.eg/,Full Member
All Nations University College,Koforidua,Ghana,https://anu.edu.gh,Full Member
Alzaiem Alazhari University,Omdurman,Sudan,http://www.aau.edu.sd/,Full Member
Ambrose Alli University,Ekpoma,Nigeria,http://www.aauekpoma.edu.ng/,Full Member
American International University,Banjul,The Gambia,http://www.aiu.edu.gm,Full Member
Ardhi University,Dar Es Salaam,Tanzania,http://www.aru.ac.tz/,Full Member
Ashesi University College,Accra,Ghana,https://www.ashesi.edu.gh/,Full Member
Assiut University,Assiut,Egypt,http://www.aun.edu.eg/,Full Member
Aswan University,Aswan,Egypt,http://www.aswu.edu.eg/,Full Member
Babcock University,Ikeja,Nigeria,https://babcock.edu.ng,Full Member
Bayan College Of Science And Technology,Khartoum,Sudan,http://www.bayantech.edu,Associate Member
Bayero University,Kano,Nigeria,http://www.buk.edu.ng,Full Member
"Bells University Of Technology, Ota",Ogun State,Nigeria,http://www.bellsuniversity.org/,Full Member
Benadir University,Mogadishu,Somalia,https://bu.edu.so/,Associate Member
Benha University,Benha,Egypt,http://www.bu.edu.eg/,Full Member
Bindura University Of Science Education,Bindura,Zimbabwe,http://www.buse.ac.zw,Full Member
Bluecrest College,Accra,Ghana,https://bluecrest.edu.gh/,Associate Member
Botho University,Gaborone,Botswana,https://www.bothouniversity.com/,Full Member
Botswana Accountancy College,Gaborone,Botswana,http://www.bac.ac.bw/,Full Member
Botswana International University Of Science And Technology,Palapye,Botswana,https://www.biust.ac.bw,Full Member
Botswana University Of Agriculture And Natural Resources,Gaborone,Botswana,https://buan.ac.bw,Full Member
Bowen University,Iwo,Nigeria,http://bowenuniversity.edu.ng,Full Member
Bugema University,Kampala,Uganda,www.bugemauniv.ac.ug,Full Member
Bule Hora University,Oromia,Ethiopia,http://www.bhu.edu.et/,Full Member
Bunda College Of Agriculture,Bunda,Malawi,http://www.luanar.ac.mw,Full Member
Busitema University,Tororo,Uganda,https://busitema.ac.ug/,Full Member
Cairo University,Cairo,Egypt,http://www.cu.edu.eg,Full Member
Capital University Of Somalia,"Mogadishu,",Somalia,https://capitaluniversity.edu.so,Full Member
Carnegie Mellon University,Kigali,Rwanda,http://www.cmu.edu/rwanda/,Full Member
Catholic University Of Mozambique,Beira,Mozambique,http://www.ucm.ac.mz,Full Member
Catholic University Of Zimbabwe,Harare,Zimbabwe,http://cuz.ac.zw/,Full Member
Cavendish University,Lusaka,Zambia,https://www.cavendishza.org,Full Member
Central University College,Accra,Ghana,http://www.centraluniversity.org,Full Member
"Central University Of Technology, Free State",Bloemfontein 9301,South Africa,https://www.cut.ac.za/,Full Member
Chinhoyi University Of Technology,Chinhoyi,Zimbabwe,http://www.cut.ac.zw/,Full Member
Chreso University,Lusaka,Zambia,https://chresouniversity.edu.zm/,Associate Member
College Of Business Education,Dodoma,Tanzania,https://www.cbe.ac.tz,Full Member
Copperbelt University,Kitwe,Zambia,http://www.cbu.edu.zm,Full Member
Council On Higher Education,Persequor Park 0020,South Africa,https://www.che.ac.za/,Associate Member
Covenant University,"Ota, Km. 10 Idiroko Road, Canaan Land",Nigeria,http://www.covenantuniversity.edu.ng/,Full Member
Crawford University,Igbesa,Nigeria,https://crawforduniversity.edu.ng/crawford/,Associate Member
Cross River University Of Technology,Calabar,Nigeria,https://www.crutech.edu.ng/,Full Member
Cuttington University College,Monrovia,Liberia,http://cuttingtonuniversity.edu.lr/,Full Member
Daystar University College,Nairobi,Kenya,https://www.daystar.ac.ke,Full Member
Dedan Kimathi University Of Technology,Nyeri,Kenya,http://www.dkut.ac.ke/,Full Member
"Delta State University, Abraka",Abraka,Nigeria,https://www.delsu.edu.ng/,Full Member
Dire Dawa University,Dire Dawa,Ethiopia,https://www.ddu.edu.et/,Full Member
Dmi-st. Eugene University,Lusaka,Zambia,https://www.dmiseu.edu.zm,Full Member
Dmi-st. John The Baptist University (dmisjbu),Mangochi,Malawi,https://www.dmisjbu.edu.mw,Full Member
Dominion University College,Accra,Ghana,https://duc.edu.gh/,Full Member
Durban University Of Technology,Durban,South Africa,https://www.dut.ac.za,Full Member
East Africa University,Bosaso,Somalia,https://www.eastafricauniversity.net,Full Member
"Ebonyi State University, Abakaliki",Abakaliki,Nigeria,http://www.ebsu-edu.net,Full Member
Ecole De Gouvernance Et D'economie De Rabat,Rabat,Morocco,http://www.egerabat.com,Full Member
Ecole Des Cadres,Lome,Togo,http://www.ecoledescadrestogo.com/,Associate Member
"Ecole Des Mines, De L’industrie Et De La Géologie (emig)",Niamey,Niger,http://www.emig-niger.org,Full Member
Ecole Nationale Superieure Des Travaux Publics De Yaoundé,Yaoundé,Cameroun,https://enstp.cm/,Full Member
Ecole Normale Supérieure,Bujumbura,Burundi,http://www.ens.bi/,Full Member
Ecole Normale Supérieure De Nouakchott,Nouakchott,Mauritania,https://www.ens.mr,Full Member
Ecole Superieure Polytechnique D'antsiranana,Antisiranana,Madagascar,https://www.esp-antsiranana.mg/,Associate Member
Edexcel University,Ifangni,Benin,http://www.edexceluni.org/,Full Member
"Edo State University, Uzairue",Auchi,Nigeria,http://www.edouniversity.edu.ng,Full Member
Egerton University,Njoro,Kenya,http://www.egerton.ac.ke/,Full Member
Egypt-japan University Of Science And Technology,Alexandria,Egypt,http://www.ejust.edu.eg/,Associate Member
"Ekiti State University, Ado Ekiti",Ado Ekiti State,Nigeria,https://eksu.edu.ng,Full Member
El Imam El Mahdi University,Kosti,Sudan,http://www.mahdi.edu.sd/,Full Member
Elizade University,"Ilara-mokin, Ondo State",Nigeria,https://www.elizadeuniversity.edu.ng,Full Member
Enugu State University Of Science Technology,Enugu,Nigeria,http://www.esut.edu.ng/,Full Member
Ethiopian Civil Service University,Addis Ababa,Ethiopia,http://www.ecsu.edu.et,Full Member
Euclid University (euclid),Bangui,Central African Rep.,https://www.euclid.int,Full Member
Faculty Of Islamic Call,Tripoli,Libya,http://www.islamic-call.org,Associate Member
Federal Polytechnic Oko,Oko,Nigeria,https://federalpolyoko.edu.ng/,Full Member
"Federal University Of Agriculture, Abeokuta",Abeokuta,Nigeria,http://www.unaab.edu.ng,Full Member
"Federal University Of Technology, Akure",Akure,Nigeria,http://www.futa.edu.ng/,Full Member
"Federal University Of Technology, Minna","Minna, 920001",Nigeria,http://www.futminna.net/,Full Member
"Federal University Of Technology, Owerri",Owerri,Nigeria,https://futo.edu.ng/,Full Member
Federal University Oye- Ekiti,Ekiti,Nigeria,https://fuoye.edu.ng/,Full Member
Garden City University College,Kumasi,Ghana,https://www.gcuc.edu.gh/,Full Member
Ghana Institute Of Journalism,Accra,Ghana,https://gij.edu.gh/,Full Member
Ghana Institute Of Languages,Accra,Ghana,http://gil.edu.gh/,Full Member
Ghana Institute Of Management And Public Administration,Accra,Ghana,http://www.gimpa.edu.gh,Full Member
Gollis University,Hargeisa,Somalia,https://gollisuniversity.org/,Full Member
Gombe State University,Gombe,Nigeria,https://gsu.edu.ng/,Full Member
Graduate School Of Management,Abidjan,Côte D'ivoire,https://www.gradsm.net/,Associate Member
Great Zimbabwe University,Masvingo,Zimbabwe,https://www.gzu.ac.zw/,Full Member
Groupe Institut Supérieur De Commerce Et D'administration Des Entreprises (group Iscae),Casablanca,Morocco,https://www.groupeiscae.ma,Full Member
Gulf Medical University,Ajman,United Arab Emirates,https://gmu.ac.ae,Associate Member
Haramaya University,Dire Dawa,Ethiopia,http://www.haramaya.edu.et/,Full Member
Harare Institute Of Technology,Harare,Zimbabwe,https://www.hit.ac.zw/,Full Member
Hawassa University,Hawassa,Ethiopia,http://www.hu.edu.et,Full Member
Helwan University,"Helwan, Cairo",Egypt,http://www.helwan.edu.eg/,Full Member
Higher Institute Of Science And Technology Of Mozambique,Maputo,Mozambique,https://isctem.ac.mz/,Full Member
Himilo University,Mogadishu,Somalia,https://www.himilouniversity.edu.so/,Full Member
Ho Technical University,Ho,Ghana,https://www.htu.edu.gh,Full Member
Hormuud University,Mogadishu,Somalia,http://hu.edu.so,Associate Member
Horseed International University,Mogadishu,Somalia,http://www.hiu-edu.com/,Associate Member
Hubert Kairuki University,Dar Es Salaam,Tanzania,http://www.hkmu.ac.tz,Full Member
"Ibrahim Badamasi Babangida University,lapai",Lagos,Nigeria,https://ibbu.edu.ng/,Full Member
Igbinedion University,Benin City,Nigeria,https://www.iuokada.edu.ng/,Full Member
Imo State University,Owerri,Nigeria,https://imsuonline.edu.ng/,Full Member
Institut Africain De Santé Publique (iasp),Ouagadougou,Burkina Faso,https://iasp-bf.org/,Associate Member
Institut De Formation Aux Carrières De Santé,Casablanca,Morocco,http://efcsfes.simplesite.com/,Full Member
Institut Des Hautes Etudes De Tunis,Mutuelleville,Tunisia,http://www.ihet.ens.tn/,Full Member
Institut International D'ingénierie De L'eau Et De L'environnement,Ougadougou 01,Burkina Faso,https://www.auf.org/,Full Member
Institut International Des Sciences Et Technologie Sénégal,Dakar,Senegal,http://www.iist-hilight.com,Full Member
Institut Supérieur De L'informatique Et De Gestion (isig),Ouagadougou 06,Burkina Faso,http://www.isigk.rnu.tn/,Full Member
Institut Universitaire Du Golfe De Guinée,Douala,Cameroon,http://www.univ-iug.com,Full Member
Institut Universitaire D’abidjan,Abidjan,Côte D'ivoire,https://iua-ci.com,Full Member
Instituto Superior De Ciências De Educação à Distância (isced),Beira,Mozambique,https://isced.co,Associate Member
Instituto Superior Politecnico De Tecnologias E Ciencias,"Av. Luanda Sul, Luanda, Angola",Angola,https://www.isptec.co.ao,Associate Member
Inter-state School Of Veterinary Sciences And Medicine,Dakar,Senegal,eismv.org/?lang=en,Associate Member
International Centre For Insect Physiology And Ecology (icipe),Nairobi,Kenya,http://www.icipe.org,Full Member
International Open University,Kanifing South,The Gambia,https://iou.edu.gm/,Full Member
International University Of Africa,Khartoum,Sudan,https://www.iua.edu.sd,Full Member
International University Of Africa,Khartoum,Sudan,www.iua.edu.sd,Full Member
International University Of Grand-bassam,Grand-bassam,Côte D'ivoire,http://iugb.org/,Full Member
International University Of Management,Windhoek,Namibia,http://www.ium.edu.na,Full Member
Islamic University In Uganda,Mbale,Uganda,http://www.iuiu.ac.ug/,Full Member
Iu - International University Of Applied Sciences,Erfurt,Germany,http://www.iu.de,Associate Member
Jamhuriya University Of Science And Technology (just),Mogadishu,Somalia,https://just.edu.so,Full Member
Jazeera University,Mogadishu,Somalia,https://www.jazeerauniversity.com/,Full Member
Jimma University,Addis Ababa,Ethiopia,http://www.ju.edu.et/,Full Member
Jomo Kenyatta University Of Agric. & Technology,Nairobi,Kenya,http://www.jkuat.ac.ke,Full Member
Kabale University,Kabale,Uganda,https://www.kab.ac.ug/,Full Member
Kabridahar University,Kebri Dahar,Ethiopia,https://kdu.edu.et/,Associate Member
Kampala International University,Kampala,Uganda,https://www.kiu.ac.ug/,Full Member
Kca University,Nairobi,Kenya,https://www.kcau.ac.ke/,Full Member
Kenyatta University,Nairobi,Kenya,http://www.ku.ac.ke,Full Member
Kesmonds International University,Ngaoundere,Cameroon,https://kesmonds-edu.ac/,Associate Member
Koforidua Technical University,Koforidua,Ghana,https://www.ktu.edu.gh,Full Member
Kogi State University,Anyigba,Nigeria,http://www.ksu.edu.ng/,Full Member
Kumasi Technical University,Kumasi,Ghana,https://kstu.edu.gh/,Full Member
Kwame Nkrumah University Of Science And Technology,Kumasi,Ghana,http://www.knust.edu.gh,Full Member
Kwara State University,Ilorin,Nigeria,https://www.kwasu.edu.ng/,Full Member
"Kwararafa University, Wukari",Taraba State,Nigeria,https://kwararafauniversity.org,Associate Member
Ladoke Akintola University Of Technology,Ogbomoso,Nigeria,http://www.lautech.edu.ng,Full Member
Landmark University,Omu Aran,Nigeria,http://landmarkuniversity.edu.ng/,Associate Member
Lilongwe University Of Agriculture & Natural Resources (luanar),Lilongwe,Malawi,http://www.bunda.luanar.mw/,Full Member
Lincoln University College,Petaling Jaya,Malaysia,http://www.lincoln.edu.my,Associate Member
Lupane State University,Bulawayo,Zimbabwe,http://www.lsu.ac.zw/,Full Member
Lusaka Apex University,Lusaka,Zambia,http://lamu.edu.zm/,Full Member
Maflekumen Higher Institute Of Health Sciences,Tiko Fako Division,Cameroun,https://maflekumen-institute.org/,Full Member
Mahatma Gandhi University,"Kigali,",Rwanda,http://www.mgu.ac.rw/,Associate Member
Makerere University,Kampala,Uganda,http://www.mak.ac.ug,Full Member
Malawi University Of Science And Technology,Limbe,Malawi,https://www.must.ac.mw,Full Member
Manicaland State University Of Applied Sciences,Mutare,Zimbabwe,https://msuas.ac.zw,Full Member
Manicaland State University Of Applied Sciences (msuas),Mutare,Zimbabwe,https://msuas.ac.zw,Full Member
Mansoura University,Mansoura 35516,Egypt,http://www.mans.eun.eg,Full Member
Marodijeh University,Hargeisa,Somalia,http://www.miu.edu.so,Full Member
Maryam Abacha Université Américaine Du Niger,Maradi,Niger,http://maaun.net,Full Member
Maseno University,Maseno,Kenya,http://maseno.ac.ke/,Full Member
Masinde Muliro College Of Science And Technology,Maseno,Kenya,http://www.mmust.ac.ke,Full Member
Matrouh University,Matrouh,Egypt,http://www.mau.edu.eg/,Full Member
Mekelle University,Mekelle,Ethiopia,https://infomekelle.com/,Full Member
Menoufia University,Shebin El-kom,Egypt,http://mu.menofia.edu.eg/,Full Member
Meru University Of Science And Technology,Meru,Kenya,https://www.must.ac.ke/,Full Member
Methodist University College,Accra,Ghana,http://www.mucg.edu.gh,Full Member
"Michael Okpara University Of Agriculture, Umudike",Umuahia,Nigeria,http://mouau.edu.ng/,Full Member
Midlands State University,Gweru,Zimbabwe,https://ww5.msu.ac.zw/,Full Member
Minia University,El Minia,Egypt,http://www.minia.edu.eg/,Full Member
Misr University For Science & Technology,Cairo,Egypt,http://www.must.edu.eg,Full Member
Misurata University,Misurata,Libya,http://www.misuratau.edu.ly/,Full Member
"Modibbo University Of Technology, Yola",Yola Adamawa State,Nigeria,http://www.futy.edu.ng/,Full Member
Mogadishu University,Mogadishu,Somalia,http://www.mogadishuuniversity.com,Full Member
Mohammed Vi Polytechnic University,Ben Guerir,Morocco,https://www.um6p.ma/,Full Member
Moi University,Eldoret,Kenya,http://www.mu.ac.ke,Full Member
Mount Kenya University,Thika,Kenya,http://www.mku.ac.ke/,Full Member
Mountain Top University,"Ibafo, Ogun State",Nigeria,https://www.mtu.edu.ng,Full Member
Muhimbili University Of Health & Allied Science,"Dar Es Salaam,",Tanzania,http://www.muchs.ac.tz/,Full Member
Multimedia University Of Kenya,Nairobi,Kenya,https://www.mmu.ac.ke,Full Member
Mulungushi University,Kabwe,Zambia,http://www.mu.ac.zm/,Associate Member
Muslim University Of Morogoro,Morogoro,Tanzania,http://www.mum.ac.tz/,Full Member
Mzumbe University,Mzumbe,Tanzania,https://site.mzumbe.ac.tz,Full Member
Namibia University Of Science And Technology,Windhoek,Namibia,https://www.nust.na/,Full Member
"Nasarawa State University, Keffi",Keffi,Nigeria,http://www.nsukonline.net/,Full Member
National Institute Of Public Administration (nipa),Lusaka,Zambia,https://www.nipa.ac.zm,Full Member
National Open University Of Nigeria,Lagos,Nigeria,http://www. Nou.edu.ng,Full Member
National University Of Lesotho,Roma,Lesotho,http://www.nul.ls,Full Member
National University Of Science And Technology,Bulawayo,Zimbabwe,http://www.nust.ac.zw/,Full Member
National University Sudan,Khartoum,Sudan,https://nu.edu.sd/,Full Member
Ndejje University,Ndejje,Uganda,https://www.ndejjeuniversity.ac.ug/,Full Member
Nelson Mandela University,Port Elizabeth,South Africa,https://www.mandela.ac.za/,Full Member
"New Era College Of Arts, Science And Technology",Gaborone,Botswana,https://neweracollege.ac.bw/,Full Member
Niger Delta University,Bayelsa State,Nigeria,https://www.ndu.edu.ng/,Full Member
Nigerian Turkish Nile University,Abuja,Nigeria,https://www.nileuniversity.edu.ng,Full Member
Nile Valley University (wadi El-neel University),Khartoum,Sudan,http://www.nilevalley.edu.sd,Full Member
Njala University,Freetown,Sierra Leone,https://www.njala.edu.sl/,Full Member
Nnamdi Azikiwe University,Awka,Nigeria,http://www.unizik.edu.ng/,Full Member
North-west University,Potchefstroom 2520,South Africa,http://www.nwu.ac.za,Full Member
"Obafemi Awolowo University, Ile-ife",Ile-ife,Nigeria,http://www.oauife.edu.ng,Full Member
Obour High Institute,Obour City,Egypt,https://www.oi.edu.eg,Associate Member
October 6 University,October 6 City,Egypt,https://o6u.edu.eg/,Full Member
Olabisi Onabanjo University,Ago-iwoye,Nigeria,http://www.oouagoiwoye.edu.ng/,Full Member
Omdurman Ahlia University,Omdurman,Sudan,http://oau.edu.sd/,Full Member
Omdurman Islamic University,Omdurman,Sudan,http://www.oiu.edu.sd/,Full Member
Open University Of Mauritius,Reduit,Mauritius,http://www.open.ac.mu,Full Member
Osun State University,Osogbo,Nigeria,http://www.uniosun.edu.ng/,Full Member
Pan African Institute For Development - West Africa (paid-wa),Buea,Cameroon,https://www.paidafrica.org/paidwa,Full Member
Pan African University,Tlemcen,Ethiopia,https://pau-au.net/en/,Full Member
Pan-atlantic University,Lekki,Nigeria,http://www.pau.edu.ng,Full Member
Pentecost University,Accra,Ghana,https://www.pentvars.edu.gh,Full Member
