,institution,location,country,website,status,point,latitude,longitude,altitude,geometry
0,Abia State University,"441103, Uturu, Abia, Nigeria",Nigeria,http://absu.edu.ng/,Full Member,"(5.8225266, 7.3940761, 0.0)",5.8225266,7.3940761,0,POINT (7.3940761 5.8225266)
1,Abm University College,"9VFM+H73, Lephala, Gaborone, Botswana",Botswana,https://abm.ac.bw,Associate Member,"(-24.626106, 25.8831748, 0.0)",-24.626106,25.8831748,0,POINT (25.8831748 -24.626106)
2,Abrar University,,Somalia,https://abrar.edu.so,Associate Member,"(2.0379639,45.2855899,0.0)",2.0379639,45.2855899,0,POINT (45.2855899 2.0379639)
3,Abubakar Tafawa Balewa University,"Campus: Along Bauchi, Dass Road, 740272, Yelwa, Bauchi, Nigeria",Nigeria,http://www.atbu.edu.ng/,Full Member,"(10.280075, 9.79455, 0.0)",10.280075,9.79455,0,POINT (9.79455 10.280075)
4,Accra Institute Of Technology,"34 Concam Cres, Accra, Ghana",Ghana,http://ait-edu.us/,Full Member,"(5.5818774, -0.2141298, 0.0)",5.5818774,-0.2141298,0,POINT (-0.2141298 5.5818774)
5,Accra Technical University,,Ghana,https://atu.edu.gh,Full Member,"(5.5542522,-0.2108336,0.0)",5.5542522,-0.2108336,0,POINT (-0.2108336 5.5542522)
6,"Adamawa State University,","650101, Mubi, Adamawa, Nigeria",Nigeria,http://www.adamawastateuni.com/,Full Member,"(10.2800641, 13.2773629, 0.0)",10.2800641,13.2773629,0,POINT (13.2773629 10.2800641)
7,Addis Ababa Science And Technology University,"Addis Ababa, Ethiopia",Ethiopia,http://www.aastu.edu.et,Full Member,"(8.8851654, 38.8097534, 0.0)",8.8851654,38.8097534,0,POINT (38.8097534 8.8851654)
8,Addis Ababa University,"NBH1, 4killo King George VI St, Addis Ababa, Ethiopia",Ethiopia,http://www.aau.edu.et,Full Member,"(9.033506299999999, 38.7636817, 0.0)",9.0335063,38.7636817,0,POINT (38.7636817 9.033506299999999)
9,Adekunle Ajasin University,"Ondo, Akungba, Ondo, Nigeria",Nigeria,http://www.adekunleajasinuniversity.edu.ng/,Full Member,"(7.482307199999999, 5.7499614, 0.0)",7.4823072,5.7499614,0,POINT (5.7499614 7.482307199999999)
10,Admiralty University Of Nigeria,Nigeria,Nigeria,https://adun.edu.ng/,Associate Member,"(9.081999, 8.675277, 0.0)",9.081999,8.675277,0,POINT (8.675277 9.081999)
11,"Afe Babalola University, Ado Ekiti (abuad)","M8C4+9R5, 362101, Aye, Ekiti, Nigeria",Nigeria,http://www.abuad.edu.ng,Full Member,"(7.6708843, 5.3070996, 0.0)",7.6708843,5.3070996,0,POINT (5.3070996 7.6708843)
12,Afi/l’université De L’entreprise En Abrégé (afi/l’ue),"Zone B Rue G, Dakar 17016, Senegal",Sénégal,https://www.afi-ue.sn/,Full Member,"(14.6986848, -17.4551355, 0.0)",14.6986848,-17.4551355,0,POINT (-17.4551355 14.6986848)
13,Africa International University,"Rhino Park Close, Nairobi, Kenya",Sudan,https://www.iua.edu.sd/,Full Member,"(-1.3024379, 36.6900489, 0.0)",-1.3024379,36.6900489,0,POINT (36.6900489 -1.3024379)
