,institution,website,location,point,latitude,longitude,altitude,geometry
0,Biblioteka Kombetare / National Library of Albania,,"8RHC+94M, Sheshi Skënderbej, Tirana, Albania","(41.3284598, 19.8203059, 0.0)",41.3284598,19.8203059,0,POINT (19.8203059 41.3284598)
1,Հայաստանի Ազգային Գրադարան / National Library of Armenia,,Armenia,"(40.069099, 45.038189, 0.0)",40.069099,45.038189,0,POINT (45.038189 40.069099)
2,Österreichische Nationalbibliothek / National Library of Austria,,"Josefsplatz 1, 1015 Wien, Austria","(48.2062609, 16.3668953, 0.0)",48.2062609,16.3668953,0,POINT (16.3668953 48.2062609)
3,M.F. Axundov adina Azerbaycan Milli Kitabxana / National Library of Azerbaijan,,"29 Xaqani Küçəsi, Bakı 1000, Azerbaijan","(40.3743331, 49.84587500000001, 0.0)",40.3743331,49.845875,0,POINT (49.84587500000001 40.3743331)
4,Koninklijke Bibliotheek van België / Royal Library of Belgium,,"Bd de l'Empereur 4, 1000 Bruxelles, Belgium","(50.8434436, 4.3556135, 0.0)",50.8434436,4.3556135,0,POINT (4.3556135 50.8434436)
5,Nacionalna i univerzitetska biblioteka / National and University Library of Bosnia and Herzegovina,,"Zmaja od Bosne 8b, Sarajevo 71000, Bosnia and Herzegovina","(43.8559667, 18.3968157, 0.0)",43.8559667,18.3968157,0,POINT (18.3968157 43.8559667)
6,Национална библиотека „Свети Свети Кирил и Методий / St.St. Cyril and Methodius National Library,,"Garden ""Library Sv. Sv. Cyril and Methodius"", St. St. Cyril and Methodius Monument, bul. ""Vasil Levski"", 1504 Doktorska Gradina, Sofia, Bulgaria","(42.6947833, 23.3352349, 0.0)",42.6947833,23.3352349,0,POINT (23.3352349 42.6947833)
7,Nacionalna i sveučilišna knjižnica u Zagrebu / National and University Library in Zagreb,,"Ul. Hrvatske bratske zajednice 4, 10000, Zagreb, Croatia","(45.7966353, 15.9775578, 0.0)",45.7966353,15.9775578,0,POINT (15.9775578 45.7966353)
8,Κυπριακή Βιβλιοθήκη / Cyprus Library,,"Eleftherias Square, Nicosia, Nicosia 1011, Cyprus","(35.1691807, 33.3621378, 0.0)",35.1691807,33.3621378,0,POINT (33.3621378 35.1691807)
9,Národní knihovna České republiky / National Library of the Czech Republic,,"Klementinum 190, 110 00 Praha 1-Staré Město, Czechia","(50.0866978, 14.4162726, 0.0)",50.0866978,14.4162726,0,POINT (14.4162726 50.0866978)
10,Det Kongelige Bibliotek / National Library of Denmark,,Denmark,"(56.26392, 9.501785, 0.0)",56.26392,9.501785,0,POINT (9.501785 56.26392)
11,Eesti Rahvusraamatukogu / National Library of Estonia,,"Narva mnt 11, 15015 Tallinn, Estonia","(59.4375818, 24.7636141, 0.0)",59.4375818,24.7636141,0,POINT (24.7636141 59.4375818)
12,Kansalliskirjasto / The National Library of Finland,,"Unioninkatu 36, 00170 Helsinki, Finland","(60.1703401, 24.9503179, 0.0)",60.1703401,24.9503179,0,POINT (24.9503179 60.1703401)
13,Bibliothèque nationale de France / National Library of France,,"Quai François Mauriac, 75706 Paris, France","(48.8335842, 2.3757659, 0.0)",48.8335842,2.3757659,0,POINT (2.3757659 48.8335842)
14,საქართველოს პარლამენტის ეროვნული ბიბლიოთეკა / National Parliamentary Library of Georgia,,"7 Lado Gudiashvili St, T'bilisi, Georgia","(41.697208, 44.8007769, 0.0)",41.697208,44.8007769,0,POINT (44.8007769 41.697208)
15,Deutsche Nationalbibliothek / German National Library,,,"(50.1313282,8.6806882,0.0)",50.1313282,8.6806882,0,POINT (8.6806882 50.1313282)
16,Εθνική Βιβλιοθήκη της Ελλάδος / National Library of Greece,,"Panepistimiou 32, 10679, Athina 106 79, Greece","(37.9811157, 23.7329786, 0.0)",37.9811157,23.7329786,0,POINT (23.7329786 37.9811157)
17,Országos Széchényi Könyvtár (OSZK) / National Library of Hungary,,Hungary,"(47.162494, 19.503304, 0.0)",47.162494,19.503304,0,POINT (19.503304 47.162494)
18,Landsbókasafn Íslands – Háskólabókasafn / National & University Library of Iceland,,Iceland,"(64.963051, -19.020835, 0.0)",64.963051,-19.020835,0,POINT (-19.020835 64.963051)
19,Leabharlann Náisiúnta na hÉireann / National Library of Ireland,,"7-8 Kildare St, Dublin 2, D02 P638, Ireland","(53.34109840000001, -6.2544821, 0.0)",53.3410984,-6.2544821,0,POINT (-6.2544821 53.34109840000001)
20,Biblioteca Nazionale Centrale di Firenze / The Central National Library of Florence,,"Piazza dei Cavalleggeri, 1, 50122 Firenze FI, Italy","(43.7670813, 11.2623479, 0.0)",43.7670813,11.2623479,0,POINT (11.2623479 43.7670813)
21,Biblioteca Nazionale Centrale di Roma / The Central National Library of Rome,,"Viale Castro Pretorio, 105, 00161 Roma RM, Italy","(41.9055533, 12.5082884, 0.0)",41.9055533,12.5082884,0,POINT (12.5082884 41.9055533)
22,Latvijas Nacionālā bibliotēka / National Library of Latvia,,"Mūkusalas iela 3, Zemgales priekšpilsēta, Rīga, LV-1423, Latvia","(56.9410509, 24.0968204, 0.0)",56.9410509,24.0968204,0,POINT (24.0968204 56.9410509)
23,Liechtensteinische Landesbibliothek / National Library of Liechtenstein,,Liechtenstein,"(47.14103919999999, 9.520935000000001, 0.0)",47.1410392,9.520935,0,POINT (9.520935000000001 47.14103919999999)
