,institution,location,point,latitude,longitude,altitude,geometry
0,American University,"University of Illinois Willard Airport, Illinois, United States","(40.03948, -88.27755, 0.0)",40.03948,-88.27755,0,POINT (-88.27755 40.03948)
1,Amherst College,"Sweet Briar College, Virginia, United States","(37.5557, -79.07975, 0.0)",37.5557,-79.07975,0,POINT (-79.07975 37.5557)
2,Arizona State University Libraries,,"(33.462330, -112.073174, 0.0)",33.46233,-112.073174,0,POINT (-112.073174 33.462330)
180,"Atlanta University Center, Robert W. Woodruff Library",,"(33.751389, -84.413333, 0.0)",33.751389,-84.413333,0,POINT (-84.413333 33.751389)
3,"
Bates College",,"(44.10333292, -70.20249919, 0.0)",44.10333292,-70.20249919,0,POINT (-70.20249919 44.10333292)
4,Baylor University,"Baylor University, Texas, United States","(31.54489, -97.11945, 0.0)",31.54489,-97.11945,0,POINT (-97.11945 31.54489)
5,Beloit College,"Beloit College, Wisconsin, United States","(42.50302, -89.03087, 0.0)",42.50302,-89.03087,0,POINT (-89.03087 42.50302)
6,Berea College,"Berea College, Kentucky, United States","(37.5715, -84.29024, 0.0)",37.5715,-84.29024,0,POINT (-84.29024 37.5715)
7,Bibliotheca Alexandrina,"Bibliotheca Alexandrina, Alexandria, Egypt","(31.20821, 29.91014, 0.0)",31.20821,29.91014,0,POINT (29.91014 31.20821)
8,Boston College,"College Pond, Massachusetts, United States","(41.8679, -70.66349, 0.0)",41.8679,-70.66349,0,POINT (-70.66349 41.8679)
9,Bowdoin College,"Bowdoin College Museum of Art, Maine, United States","(43.9073, -69.96311, 0.0)",43.9073,-69.96311,0,POINT (-69.96311 43.9073)
10,Brown University Library,"Pembroke Library Brown University, Rhode Island, United States","(41.8292, -71.4026, 0.0)",41.8292,-71.4026,0,POINT (-71.4026 41.8292)
11,Bryn Mawr College Libraries,,"(40.024197, -75.318314, 0.0)",40.024197,-75.318314,0,POINT (-75.318314 40.024197)
12,California Digital Library,,"(37.802547700000005, -122.27188564184122, 0.0)",37.8025477,-122.2718856,0,POINT (-122.27188564184122 37.802547700000005)
