,institution,location,website,point,latitude,longitude,altitude,geometry
0,Alabama A & M University,"4900 Meridian St N, Huntsville, AL 35811, USA",,"(34.78384090000001, -86.5722237, 0.0)",34.7838409,-86.5722237,0,POINT (-86.5722237 34.78384090000001)
1,Alabama State University,"915 S Jackson St, Montgomery, AL 36104, USA",,"(32.3629762, -86.2939803, 0.0)",32.3629762,-86.2939803,0,POINT (-86.2939803 32.3629762)
2,J.F. Drake State Community and Technical College,"3421 Meridian St N, Huntsville, AL 35811, USA",,"(34.7717663, -86.573315, 0.0)",34.7717663,-86.573315,0,POINT (-86.573315 34.7717663)
3,Lawson State Community College,"3060 Wilson Rd SW, Birmingham, AL 35221, USA",,"(33.450625, -86.88917789999999, 0.0)",33.450625,-86.8891779,0,POINT (-86.88917789999999 33.450625)
4,Miles College,"5500 Myron Massey Blvd, Fairfield, AL 35064, USA",,"(33.4809908, -86.9088552, 0.0)",33.4809908,-86.9088552,0,POINT (-86.9088552 33.4809908)
5,Oakwood University,"7000 Adventist Blvd NW, Huntsville, AL 35896, USA",,"(34.7520013, -86.6555165, 0.0)",34.7520013,-86.6555165,0,POINT (-86.6555165 34.7520013)
6,Shelton State Community College,"9500 Old Greensboro Rd, Tuscaloosa, AL 35405, USA",,"(33.120633, -87.561464, 0.0)",33.120633,-87.561464,0,POINT (-87.561464 33.120633)
7,Stillman College,"3601 Stillman Blvd, Tuscaloosa, AL 35401, USA",,"(33.1982647, -87.5859218, 0.0)",33.1982647,-87.5859218,0,POINT (-87.5859218 33.1982647)
8,Talladega College,"627 Battle St W, Talladega, AL 35160, USA",,"(33.4343271, -86.1128962, 0.0)",33.4343271,-86.1128962,0,POINT (-86.1128962 33.4343271)
9,Trenholm State Community College,"1225 Air Base Blvd, Montgomery, AL 36108, USA",,"(32.350273, -86.3429761, 0.0)",32.350273,-86.3429761,0,POINT (-86.3429761 32.350273)
10,Tuskegee University,"1200 W Montgomery Rd, Tuskegee, AL 36088, USA",,"(32.4307809, -85.7073277, 0.0)",32.4307809,-85.7073277,0,POINT (-85.7073277 32.4307809)
11,Arkansas Baptist College,"1600 Doctor M.L.K. Jr Dr, Little Rock, AR 72202, USA",,"(34.7350214, -92.2903963, 0.0)",34.7350214,-92.2903963,0,POINT (-92.2903963 34.7350214)
12,Philander Smith College,"900 W Daisy L Gatson Bates Dr, Little Rock, AR 72202, USA",,"(34.7371492, -92.28296929999999, 0.0)",34.7371492,-92.2829693,0,POINT (-92.28296929999999 34.7371492)
13,Shorter College,"315 Shorter Ave, Rome, GA 30165, USA",,"(34.2574504, -85.1949815, 0.0)",34.2574504,-85.1949815,0,POINT (-85.1949815 34.2574504)
14,University of Arkansas at Pine Bluff,"1200 University Dr, Pine Bluff, AR 71601, USA",,"(34.2473695, -92.0217418, 0.0)",34.2473695,-92.0217418,0,POINT (-92.0217418 34.2473695)
15,Howard University,"2400 6th St NW, Washington, DC 20059, USA",,"(38.9226843, -77.0194377, 0.0)",38.9226843,-77.0194377,0,POINT (-77.0194377 38.9226843)
16,University of the District of Columbia,"4200 Connecticut Ave NW, Washington, DC 20008, USA",,"(38.9446796, -77.06562939999999, 0.0)",38.9446796,-77.0656294,0,POINT (-77.06562939999999 38.9446796)
17,Delaware State University,"1200 N Dupont Hwy, Dover, DE 19901, USA",,"(39.1852205, -75.54340309999999, 0.0)",39.1852205,-75.5434031,0,POINT (-75.54340309999999 39.1852205)
18,Bethune Cookman University,"640 Dr Mary McLeod Bethune Blvd, Daytona Beach, FL 32114, USA",,"(29.2110122, -81.03157399999999, 0.0)",29.2110122,-81.031574,0,POINT (-81.03157399999999 29.2110122)
19,Edward Waters College,"1658 Kings Rd, Jacksonville, FL 32209, USA",,"(30.3436839, -81.6836991, 0.0)",30.3436839,-81.6836991,0,POINT (-81.6836991 30.3436839)
20,Florida A&M University,"1601 S Martin Luther King Jr Blvd, Tallahassee, FL 32307, USA",,"(30.4227211, -84.2877093, 0.0)",30.4227211,-84.2877093,0,POINT (-84.2877093 30.4227211)
21,Florida Memorial University,"15800 NW 42nd Ave, Miami Gardens, FL 33054, USA",,"(25.9179853, -80.26850929999999, 0.0)",25.9179853,-80.2685093,0,POINT (-80.26850929999999 25.9179853)
22,Albany State University,"504 College Dr, Albany, GA 31705, USA",,"(31.5690337, -84.1404182, 0.0)",31.5690337,-84.1404182,0,POINT (-84.1404182 31.5690337)
23,Atlanta University Center,"660 Atlanta Student Movement Blvd, Atlanta, GA 30314, USA",,"(33.749232, -84.40893179999999, 0.0)",33.749232,-84.4089318,0,POINT (-84.40893179999999 33.749232)
24,Clark Atlanta University,"223 James P Brawley Dr SW, Atlanta, GA 30314, USA",,"(33.7515658, -84.4112315, 0.0)",33.7515658,-84.4112315,0,POINT (-84.4112315 33.7515658)
25,Interdenominational Theological Center,"700 M.L.K. Jr Dr SW, Atlanta, GA 30314, USA",,"(33.7540321, -84.4094156, 0.0)",33.7540321,-84.4094156,0,POINT (-84.4094156 33.7540321)
26,Morehouse College,"830 Westview Dr SW, Atlanta, GA 30314, USA",,"(33.7473412, -84.415528, 0.0)",33.7473412,-84.415528,0,POINT (-84.415528 33.7473412)
27,Morehouse School of Medicine,"720 Westview Dr SW, Atlanta, GA 30310, USA",,"(33.7432604, -84.41208089999999, 0.0)",33.7432604,-84.4120809,0,POINT (-84.41208089999999 33.7432604)
28,Savannah State University,"3219 College St, Savannah, GA 31404, USA",,"(32.0241968, -81.0625787, 0.0)",32.0241968,-81.0625787,0,POINT (-81.0625787 32.0241968)
29,Spelman College,"350 Spelman Ln SW, Atlanta, GA 30314, USA",,"(33.7451953, -84.41143749999999, 0.0)",33.7451953,-84.4114375,0,POINT (-84.41143749999999 33.7451953)
30,Kentucky State University,"400 E Main St, Frankfort, KY 40601, USA",,"(38.19997720000001, -84.8565381, 0.0)",38.1999772,-84.8565381,0,POINT (-84.8565381 38.19997720000001)
31,Simmons College of Kentucky,"1018 S 7th St, Louisville, KY 40203, USA",,"(38.2394666, -85.764747, 0.0)",38.2394666,-85.764747,0,POINT (-85.764747 38.2394666)
32,Dillard University,"2601 Gentilly Blvd, New Orleans, LA 70122, USA",,"(29.9971951, -90.06649569999999, 0.0)",29.9971951,-90.0664957,0,POINT (-90.06649569999999 29.9971951)
