,country,institution,website,location,point,latitude,longitude,altitude,geometry
0,Belgium,Royal Library of Belgium,,"Bd de l'Empereur 4, 1000 Bruxelles, Belgium","(50.8434436, 4.3556135, 0.0)",50.8434436,4.3556135,0.0,POINT (4.3556135 50.8434436)
1,Benign,National Library of Benin,,"BP 401Ouando-Akonaboè, Porto-Novo, Benin","(6.511959699999999, 2.6062495, 0.0)",6.511959699999999,2.6062495,0.0,POINT (2.6062495 6.511959699999999)
2,Benign,National Archives of Benin,,Benin,"(9.30769, 2.315834, 0.0)",9.30769,2.315834,0.0,POINT (2.315834 9.30769)
3,Burkina Faso,National Library of Burkina Faso,,"9F78+MM9, Bilbalogho, Ouagadougou, Burkina Faso","(12.3641698, -1.5332608, 0.0)",12.3641698,-1.5332608,0.0,POINT (-1.5332608 12.3641698)
4,Burkina Faso,National Archives of Burkina Faso,,"9F9P+MCV, Avenue Pr. Joseph Ki-Zerbo, Koulouba, Ouagadougou, Burkina Faso","(12.3692453, -1.5139497, 0.0)",12.3692453,-1.5139497,0.0,POINT (-1.5139497 12.3692453)
5,Cambodia,National Library of Cambodia,,"HWG9+JR4, Oknha Hing Penn St. (61), Phnom Penh, Cambodia","(11.5765184, 104.9195715, 0.0)",11.5765184,104.9195715,0.0,POINT (104.9195715 11.5765184)
6,Cameroon,National Archives of Cameroon,,Cameroon,"(7.369721999999999, 12.354722, 0.0)",7.369721999999999,12.354722,0.0,POINT (12.354722 7.369721999999999)
7,Canada,Library and Archives Canada,,"395 Wellington St, Ottawa, ON K1A 0N4, Canada","(45.420053, -75.7078959, 0.0)",45.420053,-75.7078959,0.0,POINT (-75.7078959 45.420053)
8,CanadaBurkina Faso,National Library and Archives of Quebec,,"475 Boul. de Maisonneuve E, Montréal, QC H2L 5C4, Canada","(45.5154553, -73.5623129, 0.0)",45.5154553,-73.5623129,0.0,POINT (-73.5623129 45.5154553)
9,Ivory Coast,National Library of Côte d'Ivoire,,"Bibliothèque Nationale, Bd Carde, Abidjan, Côte d'Ivoire","(5.3352163, -4.0243696, 0.0)",5.3352163,-4.0243696,0.0,POINT (-4.0243696 5.3352163)
